core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,citation,region,r2,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550_era055,FDM_depth_to_830_era055,Fit_R2_era055,Fit_model_era055,Fit_failed,avac,FDM_depth_to_550_MO,FDM_depth_to_830_MO,Fit_R2_MO,Fit_model_MO,FDM_depth_to_550_interim,FDM_depth_to_830_interim,tskin,MO_optimal_550,MO_optimal_830,FDM_depth_to_550_era055_new_fit,FDM_depth_to_830_era055_new_fit,Fit_R2_era055_new_fit,Fit_model_era055_new_fit
Tunu-N_main,78.017,-33.994,2113.0,1996,13.4,59.91,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,0.98,45048,77.9777,-33.9168,408,216,13.72,64.59,0.987,Power law,0.0,3.2317379918822557e-06,9.61,52.05,0.988,Logarithmic,14.215357780456545,61.82057571411133,245.44143676757812,0.7171641791044776,0.8688032048072108,39.7,114.17,0.988,Logarithmic
South_Dome_1,63.0,-44.187,,1997,13.14,,PKM standardized cores,,Greenland,1.0,2198,63.0313,-44.1581,112,140,12.76,87.72,0.995,Logarithmic,0.0,3.2859697967069224e-05,6.49,38.42,0.98,Logarithmic,9.688127517700195,89.55033111572266,253.80189514160156,0.4939117199391172,,26.81,90.55,0.99,Power law
6841,68.0,-41.0,,1998,11.41,,PKM standardized cores,,Greenland,1.0,11868,68.0126,-40.9658,209,175,13.83,74.38,0.995,Power law,0.0,1.2283293472137302e-05,8.16,44.83,0.984,Logarithmic,11.847457885742188,74.09809112548828,250.15390014648438,0.715162138475022,,34.22,100.4,0.986,Logarithmic
6938,69.0,-38.0,,1998,11.54,,PKM standardized cores,,Greenland,1.0,14504,68.9491,-38.056,227,197,15.19,75.13,0.995,Power law,0.0,9.780244909052271e-06,9.12,48.18,0.985,Logarithmic,13.468292236328123,74.91210174560547,248.23194885253906,0.7902946273830156,,38.58,105.88,0.988,Logarithmic
7145,71.5,-45.0,,1998,11.38,,PKM standardized cores,,Greenland,1.0,23590,71.5546,-44.946,282,154,14.91,78.22,0.995,Power law,0.0,1.2761355719703715e-05,8.67,46.32,0.986,Logarithmic,12.253397941589355,78.48677825927734,248.86863708496094,0.7618629173989454,,36.49,103.1,0.989,Logarithmic
Dye 2 (Raven) Core A,66.478,-46.285,2119.0,1998,8.1,66.34,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,0.96,8455,66.4949,-46.2676,183,131,6.97,63.21,0.975,Power law,0.0,1.3926705833000597e-05,4.63,34.16,0.957,Logarithmic,7.53850793838501,58.43702697753906,254.66366577148438,0.571604938271605,0.5149231233041904,15.49,83.14,0.963,Power law
Basin1,71.8,-42.4419,,2003,13.25,,PKM standardized cores,,Greenland,1.0,24058,71.7861,-42.4646,285,170,15.76,78.79,0.996,Power law,0.0,1.03550646599615e-05,9.25,49.79,0.988,Logarithmic,13.555536270141602,79.00849151611328,246.85556030273438,0.6981132075471698,,40.73,109.08,0.99,Logarithmic
Basin2,68.0,-44.8278,,2003,10.35,,PKM standardized cores,,Greenland,1.0,12107,67.9824,-44.8361,211,146,9.74,67.37,0.99,Power law,0.0,1.2733710718748624e-05,5.87,39.07,0.976,Logarithmic,9.723186492919922,64.77145385742188,253.04100036621094,0.5671497584541063,,22.74,91.23,0.978,Logarithmic
Basin4,62.0,-46.34,,2003,3.83,,PKM standardized cores,,Greenland,1.0,1098,61.9913,-46.343,94,117,5.73,57.54,0.962,Logarithmic,0.0,1.6255275113508105e-05,3.67,28.4,0.943,Logarithmic,7.462564468383789,54.712886810302734,256.5349426269531,0.95822454308094,,9.87,73.07,0.948,Power law
Basin5,63.93,-46.3539,,2003,5.68,,PKM standardized cores,,Greenland,1.0,3765,63.9637,-46.332,133,123,9.72,69.0,0.991,Power law,0.0,1.4043846022104844e-05,5.76,38.49,0.976,Logarithmic,9.53251838684082,65.55681610107422,253.06283569335938,1.0140845070422535,,21.59,90.84,0.979,Logarithmic
Basin6,67.0,-41.7489,,2003,10.38,,PKM standardized cores,,Greenland,1.0,9288,66.9923,-41.709,189,168,13.11,77.73,0.995,Power law,0.0,1.70866751432186e-05,7.21,41.96,0.982,Logarithmic,10.528276443481444,77.25403594970703,251.92153930664062,0.6946050096339114,,29.71,95.88,0.987,Logarithmic
Basin7,67.52,-40.4061,,2003,10.27,,PKM standardized cores,,Greenland,1.0,10569,67.5238,-40.3697,199,179,13.19,77.86,0.996,Power law,0.0,1.6590745872235857e-05,7.21,42.29,0.982,Logarithmic,10.587068557739258,78.37055969238281,251.66275024414062,0.7020447906523856,,30.27,96.45,0.987,Logarithmic
Basin8,70.0,-36.4,,2003,13.3,,PKM standardized cores,,Greenland,1.0,17954,69.9461,-36.3342,247,209,16.21,78.29,0.996,Power law,0.0,1.0236733032797927e-05,9.63,50.18,0.987,Logarithmic,14.296263694763184,79.40340423583984,247.24209594726562,0.7240601503759398,,41.12,109.05,0.989,Logarithmic
Basin9,65.01,-44.87,,2003,11.26,,PKM standardized cores,,Greenland,1.0,5255,65.0058,-44.9197,152,138,10.65,67.67,0.992,Power law,0.0,1.1260347491770515e-05,6.43,40.23,0.979,Logarithmic,9.995590209960938,64.70002746582031,252.31829833984375,0.5710479573712256,,25.33,93.79,0.983,Logarithmic
D1,64.5,-43.5,2580.0,2003,9.91,73.46,PKM standardized cores,,Greenland,1.0,4425,64.5204,-43.5031,141,149,12.39,76.94,0.995,Power law,0.0,1.965604860743042e-05,7.44,40.12,0.985,Logarithmic,9.891190528869627,76.31079864501953,253.1746826171875,0.7507568113017155,0.546147563299755,26.67,93.36,0.985,Logarithmic
