core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,r2_550,r2_830,failed_fit_550,failed_fit_830,source,citation,region,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550_era055,FDM_depth_to_830_era055,Fit_R2_era055,Fit_model_era055,Fit_failed,FDM_depth_to_550_MO,FDM_depth_to_830_MO,Fit_R2_MO,Fit_model_MO,FDM_depth_to_550_interim,FDM_depth_to_830_interim,precip,ff10m,tskin,snowfall
Site H,70.865,-35.838,3102.0,1988,15.57,,0.98,,0,1,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,21024,70.8423,-35.8242,265,212,16.51,75.72,0.993,Power law,0.0,10.22,51.93,0.988,Logarithmic,15.028088569641113,75.84546661376953,7.40136010790593e-06,6.1516594886779785,245.78883361816406,7.3996716309920885e-06
Site J,66.87,-46.26,2030.0,1989,5.8,65.73,0.65,0.89,1,0,SUMUP 2024,Kameda et al. (1995),greenland,9377,66.8484,-46.2718,190,132,6.73,63.8,0.973,Power law,0.0,4.37,33.27,0.951,Logarithmic,8.167630195617676,59.73640060424805,1.4350725905387662e-05,7.568775653839111,254.90792846679688,1.4179297068039887e-05
GRIP,72.567,-37.617,3230.0,1990,16.71,79.34,1.0,0.96,0,0,SUMUP 2024," Johnsen, S. pers. comm. as in Spencer et al. (2001)",greenland,26284,72.5499,-37.6667,299,200,17.07,75.1,0.993,Power law,0.0,10.79,54.52,0.989,Logarithmic,15.739459037780762,74.7115707397461,5.672441602655454e-06,6.170197010040283,244.18531799316406,5.6710882745392155e-06
ngt03C93.2_B16,73.94,-37.63,3040.0,1993,15.18,68.05,0.91,0.98,0,0,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",greenland,30599,73.8999,-37.6802,326,200,16.52,70.48,0.992,Power law,0.0,10.82,54.32,0.989,Logarithmic,15.765106201171875,68.3258285522461,4.108523171453271e-06,6.201388359069824,244.30569458007812,4.107025688426802e-06
ngt06C93.2_B17,75.25,-37.625,2820.0,1993,17.25,71.09,0.88,0.98,0,0,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",greenland,35013,75.1999,-37.6954,352,200,16.6,69.61,0.991,Power law,0.0,11.05,55.59,0.99,Logarithmic,15.94640827178955,66.90901947021484,3.4239267279190244e-06,6.128050327301025,243.7433319091797,3.42267799169349e-06
ngt19C.0_B19,78.0,-36.23,2234.0,1994,16.09,66.46,0.92,0.99,0,0,SUMUP 2024,NGT: Wilhelms (1996),greenland,45245,78.0475,-36.2995,409,206,14.57,65.16,0.989,Power law,0.0,10.14,53.72,0.99,Logarithmic,15.286482810974121,62.19009780883789,2.8944327823410276e-06,6.827436447143555,244.5123291015625,2.8926403956575086e-06
ngt27C94.2_B21,80.0,-41.137,2185.0,1994,17.48,67.07,0.86,0.97,0,0,SUMUP 2024,"Wilhelms et al. (2000a,b,c,d)",greenland,52817,79.98,-41.202,448,188,15.01,66.28,0.99,Power law,0.0,10.17,53.19,0.99,Logarithmic,14.95882797241211,64.96324920654297,3.0140840863168705e-06,6.561166286468506,244.57908630371094,3.0121884719847003e-06
Humboldt-E,78.598,-55.699,2045.0,1995,15.67,,0.98,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,49617,78.6597,-55.7047,432,130,14.49,66.69,0.989,Power law,0.0,9.6,50.3,0.985,Logarithmic,12.849934577941895,62.7746696472168,4.672843260777881e-06,7.0300984382629395,246.6748504638672,4.663909294322366e-06
Humboldt-M,78.527,-56.83,1995.0,1995,16.23,66.74,-2.47,0.83,0,0,PKM standardized cores,,Greenland,49426,78.5357,-56.8203,431,125,13.96,66.05,0.989,Power law,0.0,9.3,49.7,0.986,Logarithmic,12.711256980895996,62.3650016784668,4.576205810735701e-06,7.013632774353027,246.7611541748047,4.565395101963077e-06
Humboldt-M2,78.527,-56.83,1995.0,1995,15.35,,0.94,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,49426,78.5357,-56.8203,431,125,13.96,66.05,0.989,Power law,0.0,9.3,49.7,0.986,Logarithmic,12.711256980895996,62.3650016784668,4.576205810735701e-06,7.013632774353027,246.7611541748047,4.565395101963077e-06
Humboldt-N,78.751,-56.83,1905.0,1995,18.03,,0.95,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,50004,78.6937,-56.823,434,126,13.79,65.69,0.988,Power law,0.0,9.24,49.4,0.985,Logarithmic,12.54930591583252,61.744205474853516,4.642316980607575e-06,7.000833034515381,246.93605041503906,4.627256657840917e-06
Humboldt-S,78.315,-56.826,2058.0,1995,15.83,,0.98,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,48872,78.3777,-56.8178,428,124,14.35,66.33,0.989,Power law,0.0,9.53,50.27,0.986,Logarithmic,12.717193603515625,62.434627532958984,4.52987205790123e-06,7.041231155395508,246.655029296875,4.52248013971257e-06
Humboldt-W,78.452,-57.958,1924.0,1995,15.9,,0.97,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,49421,78.4547,-57.9959,431,120,13.84,65.31,0.987,Power law,0.0,9.31,49.63,0.984,Logarithmic,12.443485260009766,61.22836685180664,4.471273314266e-06,7.080201625823975,247.03846740722656,4.457010618352797e-06
NASA-U-1,73.842,-49.498,2369.0,1995,14.25,79.97,0.64,0.93,0,0,PKM standardized cores,Zoek in Kuipers Munneke et al. (2015),Greenland,31503,73.8717,-49.4507,332,135,12.9,70.04,0.995,Power law,0.0,7.92,44.17,0.988,Logarithmic,10.908801078796387,67.38827514648438,9.562125342199579e-06,7.6002373695373535,249.50543212890625,9.55663654167438e-06
NASA-U-2,73.842,-49.498,2369.0,1995,14.48,,0.99,,0,1,PKM standardized cores,checked against denstiy data for PARCA cores 2013,Greenland,31503,73.8717,-49.4507,332,135,12.9,70.04,0.995,Power law,0.0,7.92,44.17,0.988,Logarithmic,10.908801078796387,67.38827514648438,9.562125342199579e-06,7.6002373695373535,249.50543212890625,9.55663654167438e-06
NASA-U-3,73.842,-49.498,2369.0,1995,13.35,,0.98,,0,1,PKM standardized cores,checked against denstiy data for PARCA cores 2013,Greenland,31503,73.8717,-49.4507,332,135,12.9,70.04,0.995,Power law,0.0,7.92,44.17,0.988,Logarithmic,10.908801078796387,67.38827514648438,9.562125342199579e-06,7.6002373695373535,249.50543212890625,9.55663654167438e-06
NASA-U_Henderson,73.842,-49.498,2369.0,1995,14.23,79.88,0.98,0.98,0,0,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,31503,73.8717,-49.4507,332,135,12.9,70.04,0.995,Power law,0.0,7.92,44.17,0.988,Logarithmic,10.908801078796387,67.38827514648438,9.562125342199579e-06,7.6002373695373535,249.50543212890625,9.55663654167438e-06
ngt37C95.2_B26,77.253,-49.217,2598.0,1995,16.86,76.06,0.86,0.98,0,0,SUMUP 2024,"Miller and Schwager (2000a,b)",greenland,42814,77.1955,-49.2569,397,149,16.43,72.75,0.994,Power law,0.0,10.44,53.29,0.989,Logarithmic,14.799724578857422,70.307373046875,5.397110726335086e-06,6.558175086975098,244.8016357421875,5.394671916292282e-06
ngt42C95.2_B29,76.004,-43.492,2874.0,1995,17.25,74.9,0.9,0.98,0,0,SUMUP 2024,"Miller and Schwager (2000a,b)",greenland,38176,76.0277,-43.5003,370,172,16.73,70.68,0.992,Power law,0.0,10.97,54.91,0.99,Logarithmic,15.571576118469238,68.9649429321289,3.767188218262163e-06,6.387283802032471,243.9197540283203,3.765356268559117e-06
GITS-Core1,77.0,-61.095,,1996,13.82,,0.98,,0,1,PKM standardized cores,,Greenland,44929,76.9707,-61.0661,408,97,13.68,72.0,0.994,Power law,0.0,8.12,46.03,0.982,Logarithmic,10.90398120880127,67.38690948486328,1.0487838153494522e-05,6.72551155090332,249.4051055908203,1.0472295798535924e-05
GITS-Core2,77.0,-61.095,,1996,13.93,84.58,0.79,0.95,0,0,PKM standardized cores,,Greenland,44929,76.9707,-61.0661,408,97,13.68,72.0,0.994,Power law,0.0,8.12,46.03,0.982,Logarithmic,10.90398120880127,67.38690948486328,1.0487838153494522e-05,6.72551155090332,249.4051055908203,1.0472295798535924e-05
Tunu-1,78.017,-33.994,2113.0,1996,14.05,,0.98,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,45048,77.9777,-33.9168,408,216,13.72,64.59,0.987,Power law,0.0,9.61,52.05,0.988,Logarithmic,14.215357780456543,61.82057571411133,3.2317379918822553e-06,6.994117259979248,245.44143676757812,3.228460855098092e-06
Tunu-N25,78.33,-33.888,2050.0,1996,14.01,,0.91,,0,1,SUMUP 2024,Mosley-Thompson et al. (2001),greenland,46277,78.2771,-33.8285,414,216,13.32,64.08,0.987,Power law,0.0,9.39,51.7,0.988,Logarithmic,13.849202156066895,60.704463958740234,3.1798040254216176e-06,7.298163414001465,245.65855407714844,3.1766305710334564e-06
