core_name,profile_key,date,region,latitude,longitude,elevation,citation,depth_to_550,depth_to_830,failed_fit_550,failed_fit_830,r2_550,r2_830,year,source,source_doi
Site C,2564,1988-01-01,greenland,70.677,-35.787,3072.000,Clausen et al. (1988) as in Spencer et al. (2001),15.330,,0,1,0.990,,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site D,2565,1988-01-01,greenland,70.640,-35.618,3018.000,Clausen et al. (1988) as in Spencer et al. (2001),14.930,79.950,0,0,0.990,0.980,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site E,2566,1988-01-01,greenland,71.759,-35.851,3087.000,Clausen et al. (1988) as in Spencer et al. (2001),15.630,73.810,0,0,0.980,0.960,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site F,2567,1988-01-01,greenland,71.492,-35.881,3092.000,Clausen et al. (1988) as in Spencer et al. (2001),16.400,,0,1,0.970,,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site G,2568,1988-01-01,greenland,71.155,-35.838,3098.000,Clausen et al. (1988) as in Spencer et al. (2001),16.190,,0,1,0.970,,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site H,2569,1988-01-01,greenland,70.865,-35.838,3102.000,Clausen et al. (1988) as in Spencer et al. (2001),15.570,,0,1,0.980,,1988,SUMUP 2024,doi:10.18739/A2M61BR5M
Site J,2331,1989-06-01,greenland,66.870,-46.260,2030.000,Kameda et al. (1995),5.800,65.730,1,0,0.650,0.890,1989,SUMUP 2024,doi:10.18739/A2M61BR5M
Summit,2026,1987-01-01,greenland,72.294,-36.078,3263.000,van der Veen et al. (2001),14.800,,0,1,0.910,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
Summit_EUROCORE,2618,1989-06-01,greenland,72.580,-37.640,,"Fourteau (2019a,b,c)",,77.380,1,0,,0.960,1989,SUMUP 2024,doi:10.18739/A2M61BR5M
T12_2004_Apr,2282,2004-04-23,greenland,70.176,-45.340,2348.000,Morris and Wingham (2014),9.960,,0,1,0.920,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T15 1959,2002,1959-06-02,greenland,70.303,-44.570,2491.000,Renaud et al. (1959),10.970,,0,1,0.890,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
T15_2004_Apr,2283,2004-04-25,greenland,70.303,-44.570,2491.000,Morris and Wingham (2014),10.330,,0,1,0.910,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T15_2006_May,2260,2006-05-12,greenland,70.303,-44.570,2491.000,Morris and Wingham (2014),7.690,,0,1,0.850,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T19_2004_Apr,2284,2004-04-30,greenland,70.470,-43.560,2659.000,Morris and Wingham (2014),10.310,,0,1,0.940,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T19_2006_Aug,2267,2006-08-08,greenland,70.470,-43.560,2659.000,Morris and Wingham (2014),7.870,,0,1,0.850,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T19_2006_May,2261,2006-05-15,greenland,70.470,-43.560,2659.000,Morris and Wingham (2014),8.190,,0,1,0.850,,2006,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2004_May,2285,2004-05-04,greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),10.810,,0,1,0.940,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T21_2004_May_a,2292,2004-05-12,greenland,70.544,-43.020,2737.000,Morris and Wingham (2014),10.620,,0,1,0.920,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T23_2004_May,2286,2004-05-14,greenland,70.625,-42.580,2794.000,Morris and Wingham (2014),10.760,,0,1,0.920,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T27_2004_May,2287,2004-05-16,greenland,70.775,-41.540,2913.000,Morris and Wingham (2014),11.660,,0,1,0.910,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T31_1959,926,1959-06-12,greenland,70.909,-40.640,3008.000,Renaud et al. (1959),11.900,,0,1,0.980,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
T31_2004_May,2288,2004-05-18,greenland,70.909,-40.640,3008.000,Morris and Wingham (2014),11.850,,0,1,0.910,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T35_2004_May,2289,2004-05-20,greenland,70.976,-39.550,3096.000,Morris and Wingham (2014),11.930,,0,1,0.920,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2004_Aug_c,2258,2004-08-27,greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),11.910,,0,1,0.910,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T41_2004_May_c,2291,2004-05-24,greenland,71.079,-37.920,3201.000,Morris and Wingham (2014),12.200,,0,1,0.920,,2004,SUMUP 2024,doi:10.18739/A2M61BR5M
T43_1959,927,1959-06-22,greenland,71.117,-37.317,3174.000,Renaud et al. (1959),12.690,,0,1,0.950,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
T53_1959,928,1959-06-26,greenland,71.350,-33.483,2867.000,Renaud et al. (1959),12.540,,0,1,0.960,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
T61_1959,929,1959-07-28,greenland,72.233,-32.333,2750.000,Renaud et al. (1959),12.860,,0,1,0.940,,1959,SUMUP 2024,doi:10.18739/A2M61BR5M
Tunu-1,2225,1996-05-01,greenland,78.017,-33.994,2113.000,Mosley-Thompson et al. (2001),14.050,,0,1,0.980,,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
Tunu-N25,2226,1996-05-01,greenland,78.330,-33.888,2050.000,Mosley-Thompson et al. (2001),14.010,,0,1,0.910,,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
Tunu-N_main,2224,1996-05-01,greenland,78.017,-33.994,2113.000,Mosley-Thompson et al. (2001),14.180,61.090,0,0,0.960,0.980,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,626,1987-01-01,greenland,71.927,-39.835,3112.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",14.540,,0,1,0.930,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,681,2015-05-28,greenland,72.577,-38.470,3203.000,MacFerrin et al. (2022),14.290,,0,1,0.880,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,684,2015-05-28,greenland,72.577,-38.469,3203.000,MacFerrin et al. (2022),14.030,,0,1,0.870,,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,700,2017-05-20,greenland,72.578,-38.469,3209.000,MacFerrin et al. (2022),15.590,,0,1,0.910,,2017,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,621,1987-01-01,greenland,71.602,-38.141,3168.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",14.860,,0,1,0.870,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,620,1987-01-01,greenland,72.294,-37.921,3215.000,"Bolzan and Strobel (2001a,b)",7.710,,0,1,0.910,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,619,1987-01-01,greenland,72.212,-35.667,3087.000,"Bolzan and Strobel (2001a,b)",13.810,,0,1,0.930,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,624,1987-01-01,greenland,72.349,-40.214,3115.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",14.710,,0,1,0.910,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,625,1987-01-01,greenland,72.886,-39.157,3167.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",14.360,,0,1,0.890,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,1935,2017-06-16,greenland,72.999,-44.997,,Lewis et al. (2019),11.750,,0,1,0.970,,2017,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,1917,2016-06-02,greenland,70.302,-44.564,,Graeter et al. (2018),12.120,,0,1,0.870,,2016,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,1931,2017-06-10,greenland,73.831,-49.478,,Lewis et al. (2019),11.860,,0,1,0.910,,2017,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,1933,2017-06-12,greenland,73.593,-47.197,,Lewis et al. (2019),12.450,,0,1,0.930,,2017,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,1939,2015-05-01,greenland,68.892,-43.502,,Trusel et al. (2018),,81.710,1,0,0.750,0.910,2015,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,562,1984-06-01,greenland,65.100,-44.870,2625.000,Mayewski et al. (2016d),9.150,70.220,1,1,0.700,0.820,1984,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,1750,2007-01-01,greenland,72.594,-38.625,3210.000,Adolph et al. (2014),17.110,,0,1,0.890,,2007,SUMUP 2024,doi:10.18739/A2M61BR5M
nan,618,1987-01-01,greenland,77.981,-37.704,3188.000,"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",14.740,,0,1,0.930,,1987,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt03C93.2_B16,612,1993-01-01,greenland,73.940,-37.630,3040.000,"Wilhelms et al. (2000a,b,c,d)",15.180,68.050,0,0,0.910,0.980,1993,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt06C93.2_B17,613,1993-01-01,greenland,75.250,-37.625,2820.000,"Wilhelms et al. (2000a,b,c,d)",17.250,71.090,0,0,0.880,0.980,1993,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt14C93.2_B18,614,1993-01-01,greenland,76.617,-36.403,2508.000,"Wilhelms et al. (2000a,b,c,d)",,62.700,1,0,0.820,0.980,1993,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt19C.0_B19,2012,1994-01-01,greenland,78.000,-36.230,2234.000,NGT: Wilhelms (1996),16.090,66.460,0,0,0.920,0.990,1994,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt27C94.2_B21,615,1994-01-01,greenland,80.000,-41.137,2185.000,"Wilhelms et al. (2000a,b,c,d)",17.480,67.070,0,0,0.860,0.970,1994,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt37C95.2_B26,616,1995-01-01,greenland,77.253,-49.217,2598.000,"Miller and Schwager (2000a,b)",16.860,76.060,0,0,0.860,0.980,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
ngt42C95.2_B29,617,1995-01-01,greenland,76.004,-43.492,2874.000,"Miller and Schwager (2000a,b)",17.250,74.900,0,0,0.900,0.980,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
