core_name,profile_key,date,region,latitude,longitude,elevation,citation,n_measurements,max_depth,max_density,depth_to_550,depth_to_830,year,source,source_doi
Eismitte_1931-01-22,2350,1931-01-22,Greenland,71.183,-39.933,3010.000,Sorge et al. (1935) as in Abermann et al. (2023),3,8.415,598.600,8.273,,1931,SUMUP 2024,doi:10.18739/A2M61BR5M
Eismitte_1931-03-04,2355,1931-03-04,Greenland,71.183,-39.933,3010.000,Sorge et al. (1935) as in Abermann et al. (2023),2,12.970,559.500,12.921,,1931,SUMUP 2024,doi:10.18739/A2M61BR5M
Eismitte_1931-04-23,2363,1931-04-23,Greenland,71.183,-39.933,3010.000,Sorge et al. (1935) as in Abermann et al. (2023),3,14.200,551.400,14.023,,1931,SUMUP 2024,doi:10.18739/A2M61BR5M
FA13A,2497,2013-01-01,Greenland,66.181,-39.044,,Miège et al. (2013),257,50.785,985.378,6.073,25.122,2013,SUMUP 2024,doi:10.18739/A2M61BR5M
FA13B,57,2013-04-08,Greenland,66.181,-39.043,1563.000,Koenig et al. (2014),170,31.675,945.130,5.116,24.953,2013,SUMUP 2024,doi:10.18739/A2M61BR5M
FA14,2498,2014-01-01,Greenland,66.181,-39.044,,Miège et al. (2013),34,8.060,822.962,4.986,,2014,SUMUP 2024,doi:10.18739/A2M61BR5M
FS2_12m,2607,2021-04-28,Greenland,66.986,-47.238,1765.000,Clerx et al. (2022),54,12.310,1087.656,6.193,6.150,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
FS4_20m,2603,2021-04-21,Greenland,67.011,-46.817,1894.000,Clerx et al. (2022),183,21.155,1096.180,9.630,5.480,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
FS4_5m,2604,2021-04-22,Greenland,67.011,-46.817,1894.000,Clerx et al. (2022),48,5.020,927.921,3.140,4.123,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
FS5_20m,2605,2021-05-04,Greenland,67.010,-46.465,1977.000,Clerx et al. (2022),236,20.745,942.019,8.019,11.193,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
FS5_5m,2606,2021-05-04,Greenland,67.010,-46.465,1976.000,Clerx et al. (2022),46,5.445,907.279,4.708,4.749,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CEN2 (Therm Core),2193,2022-06-17,Greenland,77.182,-61.115,1891.000,GEUS snow and firn data (2023),46,10.235,702.007,2.010,,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CEN_core,2840,2024-05-15,Greenland,77.182,-61.116,1893.000,GEUS snow and firn data (2023),38,10.325,643.243,9.444,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CEN_snowpit,2841,2024-05-15,Greenland,77.182,-61.116,1893.000,GEUS snow and firn data (2023),15,1.450,553.000,1.404,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CP1 (Mast Core),2191,2022-06-15,Greenland,69.872,-47.038,1932.000,GEUS snow and firn data (2023),15,2.520,657.869,1.233,,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CP1 (Therm Core),2785,2022-06-15,Greenland,69.872,-47.038,1932.000,GEUS snow and firn data (2023),38,10.575,904.157,4.391,6.420,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CP1_2023_core,2214,2023-06-19,Greenland,69.872,-47.038,1932.000,GEUS snow and firn data (2023),46,10.190,629.586,6.326,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CP1_core,2835,2024-05-25,Greenland,69.871,-47.043,1948.000,GEUS snow and firn data (2023),29,10.062,611.130,8.271,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_CP1_snowpit,2836,2024-05-25,Greenland,69.871,-47.043,1948.000,GEUS snow and firn data (2023),14,1.390,700.000,1.300,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_DY2_2023_core,2211,2023-06-14,Greenland,66.482,-46.291,2165.000,GEUS snow and firn data (2023),68,10.210,836.631,9.125,7.915,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_DY2_S1_core,2829,2024-05-20,Greenland,66.483,-46.294,,GEUS snow and firn data (2023),41,9.905,805.459,6.515,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_DY2_S2_core,2830,2024-05-27,Greenland,66.483,-46.294,,GEUS snow and firn data (2023),38,10.178,879.170,3.128,8.998,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_DYE-2 (Therm Core),2192,2022-06-15,Greenland,66.482,-46.291,2165.000,GEUS snow and firn data (2023),47,9.473,890.744,4.871,8.540,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_EGP_snowpit_2,2847,2024-06-17,Greenland,75.628,-35.968,2669.000,GEUS snow and firn data (2023),13,1.150,556.000,0.270,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_HUM_core,2842,2024-05-21,Greenland,78.529,-56.845,1969.000,GEUS snow and firn data (2023),47,10.380,655.055,9.321,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_KAN_U_2023_core,2206,2023-06-08,Greenland,67.001,-47.034,1838.000,GEUS snow and firn data (2023),49,10.150,1131.521,6.463,5.890,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_KAN_U_snowpit,2839,2024-05-27,Greenland,67.001,-47.035,1840.000,GEUS snow and firn data (2023),12,1.150,571.429,0.674,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NAE_2023_core,2216,2023-06-23,Greenland,75.002,-29.980,2628.000,GEUS snow and firn data (2023),37,9.970,592.126,9.053,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NASA-E (Therm Core),2777,2022-05-26,Greenland,75.002,-29.980,2629.000,GEUS snow and firn data (2023),34,10.310,560.000,9.279,,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NAU_2023_core,2218,2023-06-18,Greenland,73.841,-49.534,2339.000,GEUS snow and firn data (2023),29,10.240,551.754,8.350,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NEM_core,2844,2024-05-16,Greenland,77.441,-51.084,2454.000,GEUS snow and firn data (2023),40,11.070,625.427,9.499,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NSE_2023_core,2207,2023-06-09,Greenland,66.478,-42.493,2389.000,GEUS snow and firn data (2023),30,9.935,624.347,6.872,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_NSE_S1_core,2827,2024-05-21,Greenland,66.478,-42.493,,GEUS snow and firn data (2023),30,10.482,630.429,7.797,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_SDL_2023_core,2210,2023-06-15,Greenland,66.000,-44.503,2473.000,GEUS snow and firn data (2023),44,9.880,605.948,7.403,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_SDL_S1_core,2837,2024-05-24,Greenland,66.000,-44.502,,GEUS snow and firn data (2023),35,12.537,720.684,12.371,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_SDM_2023_core,2208,2023-06-11,Greenland,63.149,-44.817,2896.000,GEUS snow and firn data (2023),34,9.995,803.496,8.745,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_SDM_S2_core,2833,2024-05-24,Greenland,63.149,-44.817,2895.000,GEUS snow and firn data (2023),29,10.175,559.667,9.756,,2024,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_Summit,2048,1999-05-12,Greenland,72.580,-38.505,3254.000,GEUS snow and firn data (2023),58,1.750,986.000,1.281,0.491,1999,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_TUN_2023_core,2220,2023-06-20,Greenland,78.019,-33.963,2079.000,GEUS snow and firn data (2023),37,9.395,550.843,9.084,,2023,SUMUP 2024,doi:10.18739/A2M61BR5M
GC-Net_Tunu-N (Therm Core),2780,2022-05-27,Greenland,78.019,-33.963,2079.000,GEUS snow and firn data (2023),33,9.875,723.689,5.419,,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
GITS_core_1_1996,2233,1996-05-10,Greenland,77.143,-61.095,1887.000,Mosley-Thompson et al. (2001),21,21.365,604.939,14.808,,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
GITS_core_2_1996,2234,1996-05-10,Greenland,77.143,-61.095,1887.000,Mosley-Thompson et al. (2001),117,119.045,897.759,14.251,83.311,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
GRIP,2503,1990-01-01,Greenland,72.567,-37.617,3230.000," Johnsen, S. pers. comm. as in Spencer et al. (2001)",74,81.805,838.850,16.435,80.730,1990,SUMUP 2024,doi:10.18739/A2M61BR5M
GlacioBasis_ZAC-L,2113,2014-04-19,Greenland,74.624,-21.374,694.000,GEUS snow and firn data (2023),45,1.990,900.000,1.899,1.972,2014,SUMUP 2024,doi:10.18739/A2M61BR5M
GlacioBasis_ZAC-U,2127,2014-04-21,Greenland,74.643,-21.463,920.000,GEUS snow and firn data (2023),35,1.715,1012.000,1.158,1.496,2014,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110424,114,2011-04-24,Greenland,76.477,-66.080,,Hawley et al. (2014),14,2.800,574.093,2.136,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110424,113,2011-04-24,Greenland,76.443,-67.008,,Hawley et al. (2014),20,3.950,767.880,3.056,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110424,109,2011-04-24,Greenland,76.405,-67.306,,Hawley et al. (2014),19,3.700,674.620,3.314,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110430,123,2011-04-30,Greenland,77.265,-58.528,,Hawley et al. (2014),35,6.700,554.715,5.340,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110508,116,2011-05-08,Greenland,76.500,-43.732,2803.000,Hawley et al. (2014),35,10.075,612.851,8.694,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110512,102,2011-05-12,Greenland,74.422,-39.294,,Hawley et al. (2014),40,9.630,551.323,1.899,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
GrIT_20110528,127,2011-05-28,Greenland,77.371,-55.927,,Hawley et al. (2014),42,10.130,589.112,7.796,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-E,2238,1995-05-01,Greenland,78.598,-55.699,2045.000,Mosley-Thompson et al. (2001),20,18.869,605.800,14.125,,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-M,2236,1995-05-01,Greenland,78.527,-56.830,1995.000,Mosley-Thompson et al. (2001),124,138.654,902.000,16.593,63.973,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-M2,2237,1995-05-01,Greenland,78.527,-56.830,1995.000,Mosley-Thompson et al. (2001),22,18.733,589.600,16.097,,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-N,2239,1995-05-01,Greenland,78.751,-56.830,1905.000,Mosley-Thompson et al. (2001),21,19.916,568.200,15.685,,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-S,2240,1995-05-01,Greenland,78.315,-56.826,2058.000,Mosley-Thompson et al. (2001),21,19.944,592.300,13.910,,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-W,2241,1995-05-01,Greenland,78.452,-57.958,1924.000,Mosley-Thompson et al. (2001),21,19.404,734.300,13.213,,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Inge Lehmann,2514,1973-01-01,Greenland,77.950,-39.183,2407.000,Gow (1973) as in Spencer et al. (2001),19,58.500,836.000,15.712,58.500,1973,SUMUP 2024,doi:10.18739/A2M61BR5M
L1 (1001),2013,1981-01-01,Greenland,65.388,-46.326,2029.000,van der Veen et al. (2001),171,19.925,1315.000,6.233,10.843,1981,SUMUP 2024,doi:10.18739/A2M61BR5M
L2 (12.18),2014,1981-01-01,Greenland,65.388,-46.327,2184.000,van der Veen et al. (2001),186,20.075,1016.000,10.286,12.811,1981,SUMUP 2024,doi:10.18739/A2M61BR5M
L5 (15.12),2015,1981-01-01,Greenland,65.388,-46.327,1967.000,van der Veen et al. (2001),202,20.640,1026.000,6.941,6.048,1981,SUMUP 2024,doi:10.18739/A2M61BR5M
NASA-U_Henderson,2242,1995-05-20,Greenland,73.842,-49.498,2369.000,Mosley-Thompson et al. (2001),143,149.812,899.745,14.748,80.895,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
